Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type,Missing_Value_Code
Effect_Size_Mean_Final_Gravimetric_Moisture_g_per_g,milligrams per kilogram per hour,"Effect size of final gravimetric moisture in sediment before of 21 day wet/dry incubation reported as grams of water per gram of dry sediment. Effect size of drying and rewetting compared to inundated treatments is calculated as the mean of the inundated treatment (-W) minus the mean of the dried and rewetted treatment (-D) of the specified data type. Median values of each treatment can be found in ""WHONDRS_EV_Sediment_Sample_Summary.csv"". Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Effect_Size_Mean_Initial_Gravimetric_Moisture_g_per_g,milligrams per liter per hour,"Effect size of initial gravimetric moisture in sediment before of 21 day wet/dry incubation reported as grams of water per gram of dry sediment. Effect size of drying and rewetting compared to inundated treatments is calculated as the mean of the inundated treatment (-W) minus the mean of the dried and rewetted treatment (-D) of the specified data type. Median values of each treatment can be found in ""WHONDRS_EV_Sediment_Sample_Summary.csv"". Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Effect_Size_Mean_pH,pH,"Effect size of pH. Effect size of drying and rewetting compared to inundated treatments is calculated as the mean of the inundated treatment (-W) minus the mean of the dried and rewetted treatment (-D) of the specified data type. Mean values of each treatment can be found in ""WHONDRS_EV_Sediment_Sample_Data_Summary.csv"". Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Effect_Size_Mean_Respiration_Rate_mg_DO_per_kg_per_H,milligrams per kilogram per hour,"Effect size of respiration rate in milligrams per kilogram per hour. Samples were normalized to milligrams per kilogram per hour using the dry mass of sediment and mass of water in the incubation vial. Effect size of drying and rewetting compared to inundated treatments is calculated as the mean of the inundated treatment (-W) minus the mean of the dried and rewetted treatment (-D) of the specified data type. Mean values of each treatment can be found in ""WHONDRS_EV_Sediment_Sample_Data_Summary.csv"". Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Effect_Size_Mean_Respiration_Rate_mg_DO_per_L_per_H,milligrams per liter per hour,"Effect size of respiration rate in milligrams per liter per hour. Effect size of drying and rewetting compared to inundated treatments is calculated as the mean of the inundated treatment (-W) minus the mean of the dried and rewetted treatment (-D) of the specified data type. Mean values of each treatment can be found in ""WHONDRS_EV_Sediment_Sample_Data_Summary.csv"". Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Effect_Size_Mean_SpC_microsiemens_per_cm,microsiemens per centimeter,"Effect size of specific conductance. Effect size of drying and rewetting compared to inundated treatments is calculated as the mean of the inundated treatment (-W) minus the mean of the dried and rewetted treatment (-D) of the specified data type. Mean values of each treatment can be found in ""WHONDRS_EV_Sediment_Sample_Data_Summary.csv"". Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Effect_Size_Mean_Temperature_degC,degrees Celsius,"Effect size of temperature. Effect size of drying and rewetting compared to inundated treatments is calculated as the mean of the inundated treatment (-W) minus the mean of the dried and rewetted treatment (-D) of the specified data type. Mean values of each treatment can be found in ""WHONDRS_EV_Sediment_Sample_Data_Summary.csv"". Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Effect_Size_Median_Fe_mg_per_kg,milligrams per kilogram,"Effect size of iron (II) data in milligrams per kilogram. Samples were normalized to milligrams iron (II) per kilogram sediment in the incubation vial using the dry mass of sediment and mass of water in the incubation vial. Effect size of drying and rewetting compared to inundated treatments is calculated as the median of the inundated treatment (-W) minus the median of the dried and rewetted treatment (-D) of the specified data type. Median values of each treatment can be found in ""WHONDRS_EV_Sediment_Sample_Data_Summary.csv"". Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Effect_Size_Median_Fe_mg_per_L,milligrams per liter,"Effect size of iron (II) data in milligrams per liter. Effect size of drying and rewetting compared to inundated treatments is calculated as the median of the inundated treatment (-W) minus the median of the dried and rewetted treatment (-D) of the specified data type. Median values of each treatment can be found in ""WHONDRS_EV_Sediment_Sample_Data_Summary.csv"". Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Effect_Size_Median_Final_Gravimetric_Moisture_g_per_g,milligrams per kilogram per hour,"Effect size of final gravimetric moisture in sediment before of 21 day wet/dry incubation reported as grams of water per gram of dry sediment. Effect size of drying and rewetting compared to inundated treatments is calculated as the median of the inundated treatment (-W) minus the median of the dried and rewetted treatment (-D) of the specified data type. Median values of each treatment can be found in ""WHONDRS_EV_Sediment_Sample_Summary.csv"". Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Effect_Size_Median_Initial_Gravimetric_Moisture_g_per_g,milligrams per liter per hour,"Effect size of initial gravimetric moisture in sediment before of 21 day wet/dry incubation reported as grams of water per gram of dry sediment. Effect size of drying and rewetting compared to inundated treatments is calculated as the median of the inundated treatment (-W) minus the median of the dried and rewetted treatment (-D) of the specified data type. Median values of each treatment can be found in ""WHONDRS_EV_Sediment_Sample_Summary.csv"". Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Effect_Size_Median_pH,pH,"Effect size of pH. Effect size of drying and rewetting compared to inundated treatments is calculated as the median of the inundated treatment (-W) minus the median of the dried and rewetted treatment (-D) of the specified data type. Median values of each treatment can be found in ""WHONDRS_EV_Sediment_Sample_Data_Summary.csv"". Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Effect_Size_Median_Respiration_Rate_mg_DO_per_kg_per_H,milligrams per kilogram per hour,"Effect size of respiration rate in milligrams per kilogram per hour. Samples were normalized to milligrams per kilogram per hour using the dry mass of sediment and mass of water in the incubation vial. Effect size of drying and rewetting compared to inundated treatments is calculated as the median of the inundated treatment (-W) minus the median of the dried and rewetted treatment (-D) of the specified data type. Median values of each treatment can be found in ""WHONDRS_EV_Sediment_Sample_Data_Summary.csv"". Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Effect_Size_Median_Respiration_Rate_mg_DO_per_L_per_H,milligrams per liter per hour,"Effect size of respiration rate in milligrams per liter per hour. Effect size of drying and rewetting compared to inundated treatments is calculated as the median of the inundated treatment (-W) minus the median of the dried and rewetted treatment (-D) of the specified data type. Median values of each treatment can be found in ""WHONDRS_EV_Sediment_Sample_Data_Summary.csv"". Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Effect_Size_Median_SpC_microsiemens_per_cm,microsiemens per centimeter,"Effect size of specific conductance. Effect size of drying and rewetting compared to inundated treatments is calculated as the median of the inundated treatment (-W) minus the median of the dried and rewetted treatment (-D) of the specified data type. Median values of each treatment can be found in ""WHONDRS_EV_Sediment_Sample_Data_Summary.csv"". Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Effect_Size_Median_Temperature_degC,degrees Celsius,"Effect size of temperature. Effect size of drying and rewetting compared to inundated treatments is calculated as the median of the inundated treatment (-W) minus the median of the dried and rewetted treatment (-D) of the specified data type. Median values of each treatment can be found in ""WHONDRS_EV_Sediment_Sample_Data_Summary.csv"". Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Elapsed_Minute,minute,The number of minutes elapsed in the incubation at the time of each measurement.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Fe_mg_per_kg,milligrams per kilogram,"Iron (II) data in milligrams per kilogram. Samples were normalized to milligrams iron (II) per kilogram sediment in the incubation vial using the dry mass of sediment and mass of water in the incubation vial. Iron (II) extracted from less than 2 millimeter sediment samples using native, filtered water from sampling site or artificial river water depending on flow conditions. Sediment from less than 2 millimeter fraction. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Fe_mg_per_L,milligrams per liter,"Iron (II) data in milligrams per liter. Iron (II) extracted from sediment from less than 2 millimeter fraction. Iron (II) extracted from less than 2 millimeter sediment samples using native, filtered water from sampling site or artificial river water depending on flow conditions. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Field_Name,N/A,Name of field of header rows before data.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
File_Description,N/A,A brief description of the files in the data package.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
File_Name,N/A,Name of files in the data package.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
File_Path,N/A,File path within the data package.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Final_Water_Mass_g,grams,"The final mass of water after the 21 day wet/dry incubation experiment. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
General_Vegetation,N/A,General vegetation type from provided controlled vocabulary during sediment sampling. From provided controlled vocabulary with the option to select up to 2 if mixed.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Header_Rows,N/A,"The number of rows or the number of columns that occur before the start of tabular data. This count assumes the numbering begins at 1 (rather than 0), excludes columns or rows that begin with ""#"", and includes the column or row that the header names are on. For example, if the file has columns with variable names but does not have any other metadata header rows, then this value is 1. Most data in this data package is oriented in columns, so this field indicates the number of rows before the start of the data (e.g., If row 1 has the column headers, row 2 has the units, and row 3 has the data values, then this value would be 2 - to indicate the count of the rows prior to the data values).",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Hydrogeomorphology,N/A,General hydrogeomorphology of river. One of the following classes may be selected: multi-channel (braided); single-channel straight; single-channel meandering.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
IGSN,N/A,International Generic Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration).,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
IGSN_Sample_Name,N/A,The sample name associated with the international generic sample number (IGSN). The IGSN is related to the source material from the WHONDRS CONUS-Scale Model-Sample Study (CM). See the readme for additional details.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Incubation_Water_Mass_g,grams,The mass of water in the sample during the two hour dissolved oxygen incubation.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Initial_Water_Mass_g,grams,"The initial mass of water at the start of 21 day wet/dry incubation experiment. Initial water mass in the dry treatment includes only initial mass of water in the sediment. Initial water mass in the wet treatment includes initial mass of water in the sediment plus water added to sample. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Intermittent_or_Perennial,N/A,Indicator of if the stream is intermittent or perennial.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Macrophyte_Coverage,N/A,Estimated macrophyte cover in the river. One of the following classes may be selected: full; partial; or no coverage.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Material,N/A,Type of sample (e.g. Liquid>aqueous; sediment; etc.). Uses a controlled vocabulary from System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration) system.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Mean_62948_Final_Gravimetric_Moisture_g_per_g,grams per gram,"Mean final gravimetric moisture in sediment after 21 day wet/dry incubation reported as grams of water per gram of dry sediment. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Mean_62948_Initial_Gravimetric_Moisture_g_per_g,grams per gram,"Mean initial gravimetric moisture in sediment before of 21 day wet/dry incubation reported as grams of water per gram of dry sediment. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Mean_Fe_mg_per_kg,milligrams per kilogram,"Mean iron (II) data in milligrams per kilogram. For sites with replicates below the below limit of detection (LOD), the lowest LOD from all trays for the study code was divided by two and used for replicates below LOD in mean calculation. Samples were normalized to milligrams iron (II) per kilogram sediment in the incubation vial using the dry mass of sediment and mass of water in the incubation vial. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Mean_Fe_mg_per_L,milligrams per liter,"Mean iron (II) data in milligrams per liter. For sites with replicates below the below limit of detection (LOD), the lowest LOD from all trays for the study code was divided by two and used for replicates below LOD in mean calculation. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Mean_Missing_Reps,N/A,Indication of whether all replicates (reps) are included in the calculation of the mean (with a FALSE flag) or all replicates are not included (with a TRUE flag).,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Mean_pH,pH,"Mean pH. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Mean_Respiration_Rate_mg_DO_per_kg_per_H,milligrams per kilogram per hour,"Mean  respiration rate in milligrams per kilogram per hour. Samples were normalized to milligrams per kilogram per hour using the dry mass of sediment and mass of water in the incubation vial. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Mean_Respiration_Rate_mg_DO_per_L_per_H,milligrams per liter per hour,"Mean respiration rate in milligrams per liter per hour.  Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Mean_SpC_microsiemens_per_cm,microsiemens per centimeter,"Mean specific conductance. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Mean_Temperature_degC,degrees Celsius,"Mean temperature. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Median_62948_Final_Gravimetric_Moisture_g_per_g,grams per gram,"Median final gravimetric moisture in sediment after 21 day wet/dry incubation reported as grams of water per gram of dry sediment. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Median_62948_Initial_Gravimetric_Moisture_g_per_g,grams per gram,"Median initial gravimetric moisture in sediment before of 21 day wet/dry incubation reported as grams of water per gram of dry sediment. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Median_Fe_mg_per_kg,milligrams per kilogram,"Median iron (II) data in milligrams per kilogram. For sites with replicates below the below limit of detection (LOD), the lowest LOD from all trays for the study code was divided by two and used for replicates below LOD in median calculation. Samples were normalized to milligrams iron (II) per kilogram sediment in the incubation vial using the dry mass of sediment and mass of water in the incubation vial. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Median_Fe_mg_per_L,milligrams per liter,"Median iron (II) data in milligrams per liter. For sites with replicates below the below limit of detection (LOD), the lowest LOD from all trays for the study code was divided by two and used for replicates below LOD in median calculation. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Median_Missing_Reps,N/A,Indication of whether all replicates (reps) are included in the calculation of the median (with a FALSE flag) or all replicates are not included (with a TRUE flag).,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Median_pH,pH,"Median pH. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Median_Respiration_Rate_mg_DO_per_kg_per_H,milligrams per kilogram per hour,"Median  respiration rate in milligrams per kilogram per hour. Samples were normalized to milligrams per kilogram per hour using the dry mass of sediment and mass of water in the incubation vial. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Median_Respiration_Rate_mg_DO_per_L_per_H,milligrams per liter per hour,"Median respiration rate in milligrams per liter per hour.  Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Median_SpC_microsiemens_per_cm,microsiemens per centimeter,"Median specific conductance. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Median_Temperature_degC,degrees Celsius,"Median temperature. Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Method_Description,N/A,Description of method code.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Method_ID,N/A,Alphanumeric ID associated with method code.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Method_Instrument,N/A,Instrument used in method code.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Method_Lab,N/A,Laboratory in which methods were completed.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Method_Name,N/A,Name of method code category.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Method_Type,N/A,Type of method.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
MethodID_Analysis,N/A,Method code defining information about analysis of the samples that led to the data presented in the column.,text,row_header,"""N/A""; ""-9999""; """"; ""NA"""
MethodID_DataProcessing,N/A,Method code defining information about data processing that led to the data presented in the column.,text,row_header,"""N/A""; ""-9999""; """"; ""NA"""
MethodID_Inspection,N/A,Method code defining information about inspection of the samples that led to the data presented in the column.,text,row_header,"""N/A""; ""-9999""; """"; ""NA"""
MethodID_Preparation,N/A,Method code defining information about preparation of the samples that led to the data presented in the column.,text,row_header,"""N/A""; ""-9999""; """"; ""NA"""
MethodID_Preservation,N/A,Method code defining information about preservation of the samples that led to the data presented in the column.,text,row_header,"""N/A""; ""-9999""; """"; ""NA"""
MethodID_Storage,N/A,Method code defining information about storage of the samples that led to the data presented in the column.,text,row_header,"""N/A""; ""-9999""; """"; ""NA"""
Methods_Deviation,N/A,Deviations from the methods codes listed in the header rows. If a row has a methods deviation; it indicates that the sample from that row uses the methods indicated in the deviations column when they conflict with the methods written in the header rows above (MethodID_*).,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
miniDOT_End_Time,hh:mm,The time the miniDOT was removed from the water.,time,column_header,"""N/A""; ""-9999""; """"; ""NA"""
miniDOT_Notes,N/A,Free form notes about the miniDOT.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
miniDOT_SN,N/A,miniDOT serial number.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
miniDOT_Start_Time,hh:mm,The time the miniDOT was deployed in the water.,time,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Missing_Value_Code,N/A,"Cells with missing data are represented with a missing value code rather than an empty cell. This column describes which missing value codes were used. In most cases, the missing value code for numeric data is ""-9999"" and for character data is ""N/A"". Some files also use a missing value format specific to when a data value is below the limit of detection or above/below the standard curve. For these cases: a text string is included in the format ""[data type]_*|*_Raw_Not_Corrected|*_Final_Corrected"" in which the asterisks are the denoted individual data values. See the associated methods deviation (DTL_003) description for more details.",text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Number_Points_In_Respiration_Regression,N/A,"Number of data points included in the respiration regression.  Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Number_Points_Removed_Respiration_Regression,N/A,"Number of data points removed from the respiration regression.  Methods information is embedded in first few rows of respective data file with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header,"""N/A""; ""-9999""; """"; ""NA"""
Organization,N/A,Organization/Institution associated with site.,text,column_header,"""N/A""; ""-9999""; """"; ""NA"""
