File_Name,File_Description,Standard,Header_Rows,Column_or_Row_Name_Position,File_Path
Garayburu-Caruso_2026_ECA_Physical_dd.csv,Data dictionary defining column headers across the CSV data files included in this package.,ESS-DIVE FLMD v1; ESS-DIVE CSV v1,1,1,
Garayburu-Caruso_2026_ECA_Physical_flmd.csv,File-level metadata describing the files included in this package.,ESS-DIVE FLMD v1; ESS-DIVE CSV v1,1,1,
readme.txt,Instructions and citations for downloading the three source ESS-DIVE data packages required by the analysis scripts.,N/A,-9999,-9999,/Data
D50_Calculations.csv,Derived site-level median sediment particle diameter (D50) values used in manuscript analyses.,ESS-DIVE CSV v1,1,1,/Data
EC_Field_metadata_and_Geospatial.csv,"Merged field observations and site-level watershed, climate, topographic, and land-cover variables for the primary CONUS sampling locations.",ESS-DIVE CSV v1,1,1,/Data
all_cube_variables_used_in_Lasso.csv,Site-level signed cube-root-transformed response and predictor variables used in the LASSO and random-forest analyses.,ESS-DIVE CSV v1,1,1,/Data
Bootstrap_Stability_Cube_Root.csv,Bootstrap selection frequencies and proportions for cube-root-transformed predictors in the random-forest analysis.,ESS-DIVE CSV v1,1,1,/Data/RF_results
Clustering_Details_Cube_Root.csv,"Spearman-correlation cluster assignments, individual predictor-response correlations, and representative-feature selection for cube-root-transformed predictors.",ESS-DIVE CSV v1,1,1,/Data/RF_results
Complete_Analysis_Cube_Root.csv,"Combined cube-root random-forest results including correlation, permutation importance, bootstrap stability, and SHAP summaries.",ESS-DIVE CSV v1,1,1,/Data/RF_results
Cross_Validation_Cube_Root.csv,Fold-level cross-validation R2 and RMSE for full and selected-predictor random-forest models using cube-root-transformed data.,ESS-DIVE CSV v1,1,1,/Data/RF_results
Permutation_Importance_Cube_Root.csv,"Mean, standard deviation, and coefficient of variation of permutation importance for cube-root random-forest predictors.",ESS-DIVE CSV v1,1,1,/Data/RF_results
SHAP_Analysis_Cube_Root.csv,"Mean absolute, mean, median, and standard deviation summaries of SHAP values for cube-root random-forest predictors.",ESS-DIVE CSV v1,1,1,/Data/RF_results
rf_directionality_shap_pd.csv,File containing SHAP directionality summaries for random-forest models of median ATP and percent fine sand.,ESS-DIVE CSV v1,1,1,/Data/RF_ATP_fine_sand_04-26-26
Featured_Image.jpg,Featured conceptual image associated with the manuscript.,N/A,-9999,-9999,/Figures
FigureS3_effect_size.*,Supplementary Figure S3 showing absolute versus relative oxygen-consumption effect size; provided in PDF and PNG formats.,N/A,-9999,-9999,/Figures
FigureS4_EC_Ecoregion_EffectSize_Map.pdf,Supplementary Figure S4 map showing the primary 50-site subset and oxygen-consumption effect sizes by ecoregion.,N/A,-9999,-9999,/Figures
Figure_1_Ecoregion_EffectSize_Map.png,"Manuscript Figure 1 map of sampling locations, ecoregions, and oxygen-consumption effect size.",N/A,-9999,-9999,/Figures
Figure_2_Combined_Cube_Histograms_range.*,Manuscript Figure 2 distributions of cube-root-transformed wet and dry oxygen-consumption rates and site-level effect sizes; provided in PDF and PNG formats.,N/A,-9999,-9999,/Figures
